Nome;Cognome;Sesso;Fumatore
Mario;Rossi;Maschio;Si
Gianni;D'angelo;Maschio;No
Rosanna;Neri;Donna;No
Paolo;Bianchi;Maschio;No
Nadia;Gialli;Donna;No
Luigi;Veri;Maschio;No
Paola;Blu;Donna;No
Mauro;Lucani;Maschio;No
Chiara;Armandi;Donna;No
Vincenzo;Cielo;Maschio;No
Chiara;Casati;Donna;No
Gianmarco;Castelli;Maschio;No
Giada;Pianti;Donna;No
Ugo;Muri;Maschio;No
Alessia;Vogliello;Donna;No
Alessandro;Cannavacciuolo;Maschio;No
Maria;Neri;Donna;No
Tullio;D'Alessio;Maschio;No
Nena;Merola;Donna;No
AAa;BBB;; 
AAA;VVV;;A
